Episode,DDQN,DQN,PPO
1,3.6095285,3.6174064,3.6402147
2,3.5683513,3.6784666,3.472319
3,3.5758662,3.532349,3.6186461
4,3.5300379,3.6880083,3.8516958
5,3.5842507,3.490728,3.6880083
6,3.64608,3.5587397,3.6487632
7,3.8729482,3.5841465,-5.0
8,3.5596476,3.7382586,3.566955
9,3.515398,3.6640873,3.522262
10,3.4854727,3.5264564,3.4924493
11,3.68886,3.7005868,3.7909718
12,3.6460075,3.5168447,3.65274
13,3.536071,3.756875,3.6060007
14,3.6887875,3.586327,3.6273222
15,3.6880083,3.8729482,3.4811144
16,3.732564,3.8799016,-5.0
17,3.5842507,3.5587397,3.4978447
18,3.6483343,3.5337956,3.514214
19,3.570295,3.604804,3.5758662
20,3.5553913,3.5815387,3.5256402
21,3.5587397,3.5826545,3.515398
22,3.586327,3.657117,3.5461552
23,3.6402147,-5.0,3.6543517
24,3.5181296,3.4777145,3.6603332
25,3.5277412,3.766887,3.691073
26,3.6177506,3.6543517,3.542855
27,3.5343442,3.698112,3.8799016
28,3.4708722,3.472319,3.6460075
29,3.4894276,3.5213542,3.6784666
30,3.5815387,3.478034,3.4910026
31,3.8799016,3.5815387,3.756875
32,3.6260645,3.9234238,3.69552
33,3.6887875,3.6175532,3.542855
34,3.4881427,3.6460075,3.5758662
35,3.6578069,3.5775876,3.5742943
36,3.5842507,3.5286415,3.7206864
37,3.698112,3.5330553,3.586327
38,3.766887,3.5366225,3.6213074
39,3.6273222,3.5742943,3.4736037
40,3.4866962,3.5701835,3.4941802
41,3.476808,3.519958,3.6095285
42,3.6177506,3.5256402,3.6186461
43,3.7546935,3.5553913,3.6548529
44,3.4736037,3.5213542,3.604237
45,3.4794593,3.5396206,3.604804
46,3.5192113,3.5835865,3.6095285
47,3.651824,3.6567204,3.7909718
48,3.5796275,3.64608,3.6402147
49,-5.0,3.5587397,3.5771408
50,-5.0,3.6200857,3.6062074
51,3.6175532,3.6603332,3.619338
52,-5.0,3.4708722,3.793055
53,3.68886,3.6578069,3.6480012
54,-5.0,3.5842507,3.536071
55,3.5842507,3.6883,3.5300379
56,3.5683513,-5.0,3.592827
57,3.4882548,3.5256402,3.68886
58,3.5250096,-5.0,3.5300379
59,3.9123416,3.6460075,3.542855
60,-5.0,3.768962,3.6880083
61,3.539189,3.4811144,3.5256402
62,3.5250096,3.6062074,3.532349
63,3.4924493,3.5826545,3.570295
64,3.531852,3.6603332,3.756875
65,3.5796275,3.5573435,3.5771408
66,3.6095285,3.5192113,3.6177506
67,3.69552,3.5911422,3.6273222
68,3.5213542,3.5842507,3.5461552
69,3.535456,3.6603332,3.5296848
70,-5.0,3.528238,3.6603332
71,3.476808,3.5775876,3.5256402
