Episode,ddqn,dqn,ppo
1,8.453479,8.181411,27.083466
2,19.924074,3.4972441,13.059001
3,25.063383,30.777695,7.1857924
4,12.715905,18.192078,23.946093
5,8.571726,20.572794,31.19243
6,8.761409,10.077361,30.264175
7,24.746355,15.380231,21.900854
8,7.6274185,7.975599,24.065926
9,13.559264,23.273455,20.148708
10,11.486153,26.865591,22.887342
11,19.637983,19.011108,23.40452
12,5.4921403,21.290731,22.801783
13,13.76054,14.045817,21.857645
14,8.696252,19.952381,32.02913
15,9.024138,10.6844225,31.99289
16,23.518982,20.765963,12.803481
17,34.73054,11.301967,31.03485
18,17.546043,13.195007,21.301308
19,15.893669,17.50337,21.311052
20,10.078095,12.085838,27.087751
21,6.349252,33.62026,22.196976
22,14.410187,19.182749,22.873877
23,28.433435,21.023909,23.298895
24,10.003369,29.063416,16.067837
25,25.428942,21.329977,14.563489
26,22.012178,8.348057,19.979235
27,20.439676,13.050587,14.033226
28,7.5249314,14.713474,14.602524
29,4.676089,14.766335,23.492104
30,7.382012,18.690462,7.3865604
31,24.978745,15.697533,27.083466
32,15.688335,8.1350355,17.90623
33,6.7907066,16.925594,22.96998
34,22.996881,14.687569,24.942595
35,12.139998,4.975392,27.411875
36,18.56258,9.769807,23.537565
37,14.817424,8.398431,29.24114
38,21.247774,8.9080305,22.627182
39,10.515774,5.17024,3.3237982
40,6.577602,10.301446,10.539832
41,16.181732,14.339086,22.44074
42,20.896551,28.786276,31.021154
43,5.462973,22.99505,24.79613
44,5.6340814,21.648119,24.232046
45,7.7283874,27.230597,21.704712
46,17.343401,20.874357,27.124008
47,8.240752,12.065201,17.489424
48,11.960105,23.596228,22.811548
49,6.3639855,18.800213,15.273871
50,7.3105583,26.577608,28.19265
51,14.512914,1.2073731,23.689997
52,26.185656,21.711096,5.757607
53,8.145547,21.409388,19.511736
54,29.294775,27.985502,29.13357
55,14.084905,10.130416,25.426214
56,22.430063,19.675447,17.457787
57,14.712692,24.106867,22.140503
58,21.114712,22.689857,30.162893
59,12.150681,8.1013155,11.659863
60,7.4223313,15.003751,31.518173
61,29.780693,12.509823,29.438904
62,1.2837454,24.289171,38.765453
63,6.718064,4.398243,27.978495
64,13.917632,7.578806,25.872026
65,20.033876,23.104944,19.247602
66,23.78269,19.233412,27.85592
67,23.656136,19.9131,12.869042
68,9.264877,8.450819,26.505442
69,14.69724,20.728697,15.484829
70,26.460909,28.3592,6.0610013
71,17.504793,25.579046,28.520554
72,10.936738,19.229506,23.836645
73,21.749094,19.017271,14.146565
74,8.376713,22.368757,27.525528
75,29.790537,26.128633,22.759108
76,20.743187,7.6127357,25.783308
77,7.0419135,24.339645,31.127052
78,18.898619,21.557518,12.850456
79,12.167981,32.392284,24.249748
80,22.407112,8.149022,25.802505
81,35.866356,6.530625,15.528346
82,22.261465,22.368757,9.586829
83,27.455673,12.959193,34.04588
84,23.120699,15.110635,18.210732
85,20.518076,30.97085,16.28796
86,22.407112,12.775771,22.257097
87,6.368286,4.555595,32.207726
88,7.7849746,13.113129,29.309708
89,6.9088445,4.7205906,26.606627
90,6.9584312,9.48417,13.917233
91,17.339647,25.891396,8.580199
92,28.744207,20.501675,20.448946
93,21.734344,13.48386,20.461575
94,12.183978,23.41387,21.113226
95,6.768936,38.883007,34.929382
96,1.7381502,8.558827,17.014584
97,15.359962,12.872563,6.2871375
98,10.472308,28.22442,30.801691
99,11.070335,6.593411,16.728682
100,26.048882,5.810595,14.592404
101,22.692827,21.886496,15.077592
102,5.2614655,17.648264,17.457787
103,11.794818,8.202788,11.363682
104,6.049839,7.310449,9.903779
105,26.78633,3.0231097,17.585024
106,8.189822,19.289495,31.392607
107,8.945198,20.7659,12.700093
108,10.214332,7.4700108,14.09154
109,21.500381,28.846832,27.51699
110,20.765001,19.76852,28.577951
111,25.827143,5.455229,17.748789
112,29.68981,28.786276,13.21138
113,9.271867,16.047773,19.428883
114,5.9681144,19.791086,18.651243
115,26.511568,24.964838,15.414552
116,9.533195,21.671461,23.483324
117,25.177376,26.558924,25.389853
118,41.50531,23.19985,11.333518
119,11.335984,7.8260436,26.555983
120,22.825533,17.648232,20.7852
121,22.697395,28.702019,9.148549
122,30.352816,31.46694,19.473032
123,9.403672,19.32885,29.204885
124,30.352816,22.509737,14.755714
125,9.889267,23.35023,20.241812
126,19.688461,4.5030427,21.06882
127,9.586381,19.447912,22.77427
128,30.057013,28.786276,19.756231
129,27.455673,28.786276,14.771172
130,6.3428097,6.7241797,19.91998
131,30.352816,13.657039,28.600733
132,13.211151,28.786276,14.363235
133,22.743729,16.854307,15.861092
134,17.964277,11.013364,6.5704937
135,14.613312,16.760492,18.425514
136,27.98826,1.4956222,22.817602
137,28.599394,26.761011,23.554148
138,22.743729,25.135763,32.291748
139,18.842829,7.895765,26.052477
140,28.94532,14.935893,22.042166
141,27.134974,28.786276,21.641586
142,28.599394,11.843727,28.483221
143,13.422646,21.306734,8.73289
144,13.672108,19.666307,27.25213
145,29.240608,13.335452,26.606627
146,11.798798,9.653038,20.461575
147,19.688461,28.64123,31.844564
148,21.945898,20.20713,31.560188
149,28.599394,29.049622,28.354895
150,15.139743,21.771652,31.882467
151,6.5584736,12.6058035,22.807077
152,3.3314269,28.215857,17.028917
153,28.266098,2.7552662,17.046795
154,28.999552,12.82037,22.381216
155,14.289628,29.049622,33.09056
156,20.370153,26.81926,12.575893
157,15.065978,21.622313,29.93019
158,29.240608,28.369238,28.820791
159,28.68365,21.511267,19.067068
160,21.39405,21.758982,23.85618
161,19.688461,8.889401,27.043442
162,27.455673,29.128897,20.386572
163,5.668644,11.607457,13.032245
164,21.945898,25.897322,22.246407
165,21.945898,9.015935,22.988388
166,3.643122,12.43963,17.29217
167,38.029522,12.266101,25.872026
168,7.476629,6.9873633,16.762012
169,28.599394,23.11673,32.43507
170,19.316133,24.068483,26.705856
171,17.103662,21.568512,33.432552
172,28.599394,19.182749,14.249537
173,27.455673,28.702019,21.113226
174,32.037617,7.8550906,35.69603
175,28.68365,35.8414,22.633585
