Episode,ddqn,dqn,ppo
1,6.86551,5.100095,4.364082
2,4.8719006,5.3966055,5.151682
3,4.5156507,4.7932415,4.6838355
4,5.9890647,5.2131877,4.138882
5,5.1552253,4.307484,4.2120705
6,5.1282816,5.9244986,4.0560646
7,4.4831853,6.083538,3.9830184
8,4.7182307,6.8615084,3.3771641
9,5.867067,3.3175716,4.2063265
10,5.9057646,4.4994745,3.6034253
11,5.2058396,5.0507283,3.8089416
12,7.0757895,5.635008,4.541491
13,5.7887654,6.249266,4.4457583
14,6.1792984,4.2098055,3.7398531
15,6.798454,5.7184815,3.961018
16,4.3857884,6.0337167,5.848071
17,3.159326,6.4647927,4.058567
18,5.4280343,5.3936076,3.9446666
19,5.446689,4.127905,4.675734
20,4.845063,4.8154917,4.121852
21,3.929243,3.0241861,4.738453
22,5.0044894,5.0445824,4.585922
23,3.8193388,4.034088,4.0027366
24,4.6970396,4.95739,4.357393
25,4.2758803,4.14877,3.100851
26,5.050066,5.0116777,4.5565224
27,6.1663275,5.839512,5.4617176
28,7.680457,5.2240944,2.9357374
29,7.3717675,6.9152093,3.6137042
30,5.039452,4.6947484,5.985891
31,6.2862425,4.612318,4.364082
32,6.1343727,6.321834,4.5942163
33,5.3781877,3.7533069,3.4266045
34,4.088488,3.4664483,3.9129906
35,3.6550405,7.039332,4.0865164
36,4.2615285,6.0446553,4.2159877
37,5.352386,4.945766,3.9808595
38,4.560446,3.6605873,5.426702
39,5.0558624,4.779746,5.904034
40,4.589268,6.0317106,5.0763335
41,5.1084146,3.3821764,3.309839
42,4.269459,3.7059128,3.8310533
43,5.1184845,6.3207574,2.868015
44,6.7894936,4.8007865,3.061028
45,5.160467,5.0044336,3.7937672
46,4.3067036,4.3993373,3.9103124
47,4.8633947,4.8147573,5.213979
48,5.387431,5.377348,3.2497811
49,6.2410755,4.542563,4.1813345
50,4.910141,4.062066,3.5532138
51,3.2364397,6.140751,3.7942505
52,4.8218904,5.159532,5.2661085
53,5.7772098,5.011876,5.9741907
54,3.5687537,4.304186,4.698336
55,4.477166,4.8240695,3.6588948
56,4.898662,4.249653,3.9184203
57,5.7149262,4.08459,3.3888505
58,5.400721,5.3414392,4.2954307
59,4.349744,5.07887,5.399251
60,5.4853244,3.8530698,4.054041
