episode,timestamp,total_reward,steps,success,sar,splat,learning_info
1,2025-07-04T23:38:47.198878,151.52064180657015,4,True,1.0,110.63928487257203,{}
2,2025-07-04T23:38:47.306795,171.13772382264244,5,True,1.0,105.21783114550126,{}
3,2025-07-04T23:38:47.412004,168.6192782770493,4,True,1.0,50.92034222522057,{}
4,2025-07-04T23:38:47.510470,168.3974624273061,4,True,1.0,68.97730472916076,{}
5,2025-07-04T23:38:47.629660,187.4454710733466,5,True,1.0,68.31510768297815,{}
6,2025-07-04T23:38:47.733606,171.78260949704588,5,True,1.0,103.74256143273976,{}
7,2025-07-04T23:38:47.829557,151.53615585504264,4,True,1.0,122.6404023734034,{}
8,2025-07-04T23:38:49.120840,154.11809534133852,4,True,1.0,107.29206384624477,{}
9,2025-07-04T23:38:51.114002,170.11405450962567,4,True,1.0,79.65278763658593,{}
10,2025-07-04T23:38:53.227431,134.21979835370973,3,True,1.0,116.31168787336115,{}
