episode,agent,reward,success,sar,splat
1,ddqn,8.453479,True,0.5,6.86551
2,ddqn,19.924074,True,0.25,4.8719006
3,ddqn,25.063383,True,0.3333333333333333,4.5156507
4,ddqn,12.715905,False,0.5,5.9890647
5,ddqn,8.571726,True,0.3333333333333333,5.1552253
6,ddqn,8.761409,True,0.3333333333333333,5.1282816
7,ddqn,24.746355,True,0.25,4.4831853
8,ddqn,7.6274185,True,0.5,4.7182307
9,ddqn,13.559264,True,0.3333333333333333,5.867067
10,ddqn,11.486153,True,0.5,5.9057646
11,ddqn,19.637983,True,0.5,5.2058396
12,ddqn,5.4921403,True,0.25,7.0757895
13,ddqn,13.76054,True,0.25,5.7887654
14,ddqn,8.696252,True,0.5,6.1792984
15,ddqn,9.024138,True,0.3333333333333333,6.798454
16,ddqn,23.518982,True,0.5,4.3857884
17,ddqn,34.73054,True,0.25,3.159326
18,ddqn,17.546043,False,0.25,5.4280343
19,ddqn,15.893669,True,0.25,5.446689
20,ddqn,10.078095,False,0.25,4.845063
21,ddqn,6.349252,False,0.3333333333333333,3.929243
22,ddqn,14.410187,True,0.5,5.0044894
23,ddqn,28.433435,True,0.3333333333333333,3.8193388
24,ddqn,10.003369,True,0.5,4.6970396
25,ddqn,25.428942,True,0.3333333333333333,4.2758803
26,ddqn,22.012178,True,0.5,5.050066
27,ddqn,20.439676,True,0.5,6.1663275
28,ddqn,7.5249314,True,0.5,7.680457
29,ddqn,4.676089,False,0.25,7.3717675
30,ddqn,7.382012,True,0.5,5.039452
31,ddqn,24.978745,True,0.5,6.2862425
32,ddqn,15.688335,True,0.5,6.1343727
33,ddqn,6.7907066,True,0.25,5.3781877
34,ddqn,22.996881,True,0.25,4.088488
35,ddqn,12.139998,False,0.5,3.6550405
36,ddqn,18.56258,True,0.5,4.2615285
37,ddqn,14.817424,True,0.3333333333333333,5.352386
38,ddqn,21.247774,True,0.3333333333333333,4.560446
39,ddqn,10.515774,True,0.3333333333333333,5.0558624
40,ddqn,6.577602,False,0.25,4.589268
41,ddqn,16.181732,True,0.25,5.1084146
42,ddqn,20.896551,True,0.5,4.269459
43,ddqn,5.462973,True,0.25,5.1184845
44,ddqn,5.6340814,False,0.3333333333333333,6.7894936
45,ddqn,7.7283874,True,0.25,5.160467
46,ddqn,17.343401,True,0.25,4.3067036
47,ddqn,8.240752,True,0.5,4.8633947
48,ddqn,11.960105,True,0.25,5.387431
49,ddqn,6.3639855,True,0.5,6.2410755
50,ddqn,7.3105583,True,0.3333333333333333,4.910141
51,ddqn,14.512914,False,0.25,3.2364397
52,ddqn,26.185656,True,0.5,4.8218904
53,ddqn,8.145547,True,0.5,5.7772098
54,ddqn,29.294775,True,0.3333333333333333,3.5687537
55,ddqn,14.084905,True,0.3333333333333333,4.477166
56,ddqn,22.430063,True,0.25,4.898662
57,ddqn,14.712692,True,0.25,5.7149262
58,ddqn,21.114712,True,0.3333333333333333,5.400721
59,ddqn,12.150681,True,0.25,4.349744
60,ddqn,7.4223313,True,0.3333333333333333,5.4853244
61,ddqn,29.780693,True,0.5,4.518244
62,ddqn,1.2837454,False,0.25,5.839512
63,ddqn,6.718064,True,0.3333333333333333,5.560935
64,ddqn,13.917632,True,0.3333333333333333,4.7251644
65,ddqn,20.033876,True,0.5,5.618855
66,ddqn,23.78269,True,0.5,4.681551
67,ddqn,23.656136,True,0.25,4.197164
68,ddqn,9.264877,False,0.3333333333333333,5.09418
69,ddqn,14.69724,True,0.3333333333333333,6.1248636
70,ddqn,26.460909,True,0.3333333333333333,4.952682
71,ddqn,17.504793,True,0.25,5.966914
72,ddqn,10.936738,False,0.5,3.8186123
73,ddqn,21.749094,True,0.3333333333333333,6.9239817
74,ddqn,8.376713,True,0.3333333333333333,7.0280266
75,ddqn,29.790537,True,0.25,4.0914626
76,ddqn,20.743187,True,0.5,4.3927317
77,ddqn,7.0419135,True,0.5,5.308404
78,ddqn,18.898619,True,0.25,4.795712
79,ddqn,12.167981,False,0.3333333333333333,5.772005
80,ddqn,22.407112,True,0.5,4.4928155
81,ddqn,35.866356,True,0.25,5.469247
82,ddqn,22.261465,True,0.5,4.200657
83,ddqn,27.455673,True,0.25,3.3873487
84,ddqn,23.120699,True,0.3333333333333333,3.7326987
85,ddqn,20.518076,True,0.25,5.368553
86,ddqn,22.407112,True,0.5,4.4928155
87,ddqn,6.368286,False,0.25,5.181451
88,ddqn,7.7849746,True,0.5,5.20009
89,ddqn,6.9088445,True,0.3333333333333333,4.915131
90,ddqn,6.9584312,True,0.25,4.929849
91,ddqn,17.339647,True,0.25,3.9080734
92,ddqn,28.744207,True,0.25,3.7287657
93,ddqn,21.734344,True,0.5,4.4065905
94,ddqn,12.183978,False,0.5,4.864066
95,ddqn,6.768936,True,0.3333333333333333,6.1614237
96,ddqn,1.7381502,False,0.25,4.158542
