episode,timestamp,total_reward,steps,success,sar,splat,learning_info
1,2025-07-04T23:38:47.212628,178.70166440074095,5,True,1.0,97.46056250662058,{}
2,2025-07-04T23:38:47.321651,168.172507089303,5,True,1.0,124.20715825369226,{}
3,2025-07-04T23:38:47.425142,186.45105186780893,5,True,1.0,79.52950421364213,{}
4,2025-07-04T23:38:47.523508,186.60940816513605,5,True,1.0,72.85362681145985,{}
5,2025-07-04T23:38:47.640807,169.42797168118403,4,True,1.0,79.09989984505349,{}
6,2025-07-04T23:38:47.744151,161.88185530607564,4,True,1.0,92.62022630105848,{}
7,2025-07-04T23:38:48.131458,169.89749998387177,5,True,1.0,113.21587276075296,{}
8,2025-07-04T23:38:49.472886,168.45662836199506,5,True,1.0,120.10948496461629,{}
9,2025-07-04T23:38:51.460882,187.61246635487475,5,True,1.0,65.14778025710245,{}
10,2025-07-04T23:38:53.578954,172.07694473778633,5,True,1.0,101.19159023918336,{}
