episode,timestamp,total_reward,steps,success,sar,splat,learning_info
1,2025-07-04T23:38:47.158357,143.78489229221665,3,True,1.0,80.11239219357549,{}
2,2025-07-04T23:38:47.269164,186.45130766463956,5,True,1.0,75.14193775272469,{}
3,2025-07-04T23:38:47.376808,160.90404423260787,4,True,1.0,83.65042037334057,{}
4,2025-07-04T23:38:47.476177,174.50683044627843,4,True,1.0,34.487587323153214,{}
5,2025-07-04T23:38:47.600779,156.8501890974855,3,True,1.0,30.633707647231425,{}
6,2025-07-04T23:38:47.696554,170.45729881710815,5,True,1.0,104.68803620332618,{}
7,2025-07-04T23:38:47.799504,179.94065931190917,5,True,1.0,90.89030575954558,{}
8,2025-07-04T23:38:48.793785,152.26901439372358,3,True,1.0,65.9433739385493,{}
9,2025-07-04T23:38:50.821220,135.75534625747966,3,True,1.0,111.44037580490262,{}
10,2025-07-04T23:38:52.984689,152.88451089666563,3,True,1.0,79.6851625043126,{}
