episode,timestamp,total_reward,steps,success,sar,splat,learning_info
1,2025-07-04T23:38:47.227519,169.64625111293958,5,True,1.0,107.15051916798024,{}
2,2025-07-04T23:38:47.337097,179.58993744267173,5,True,1.0,91.36555381148446,{}
3,2025-07-04T23:38:47.436967,169.06481896073197,4,True,1.0,60.89965519130533,{}
4,2025-07-04T23:38:47.535381,154.59707691763782,4,True,1.0,100.98580081396402,{}
5,2025-07-04T23:38:47.656494,169.61370577681436,5,True,1.0,106.68703333426257,{}
6,2025-07-04T23:38:47.755840,150.85265843647642,4,True,1.0,121.16999376670783,{}
7,2025-07-04T23:38:48.151431,170.22268668291835,5,True,1.0,111.40704169122012,{}
8,2025-07-04T23:38:49.486354,151.19033276390957,4,True,1.0,123.39677672067562,{}
9,2025-07-04T23:38:51.476389,179.54522320666703,5,True,1.0,89.81991387913764,{}
10,2025-07-04T23:38:53.595392,171.17090662765386,5,True,1.0,108.18573390467745,{}
