episode,timestamp,total_reward,steps,success,sar,splat,learning_info
1,2025-07-04T23:38:47.187816,161.17667083272295,4,True,1.0,95.76252402991683,{}
2,2025-07-04T23:38:47.292424,169.89540423769628,5,True,1.0,109.03832898730877,{}
3,2025-07-04T23:38:47.400501,179.23029583115778,5,True,1.0,88.72061788822404,{}
4,2025-07-04T23:38:47.500086,171.20197785459882,5,True,1.0,103.757207523144,{}
5,2025-07-04T23:38:47.615283,152.3563171718205,3,True,1.0,59.70152504957255,{}
6,2025-07-04T23:38:47.720033,170.28193587874145,5,True,1.0,106.42750144041904,{}
7,2025-07-04T23:38:47.818392,150.89500850500218,4,True,1.0,122.86494002958382,{}
8,2025-07-04T23:38:48.812871,151.47775493940017,4,True,1.0,120.52567706558284,{}
9,2025-07-04T23:38:50.836804,136.71108388394288,3,True,1.0,100.71485807279367,{}
10,2025-07-04T23:38:53.004870,152.44135084980223,4,True,1.0,116.13832262702539,{}
