episode,timestamp,total_reward,steps,success,sar,splat,learning_info
1,2025-07-05T00:02:58.171398,0.0,0,False,0.0,inf,{}
2,2025-07-05T00:03:15.927699,0.0,0,False,0.0,inf,{}
3,2025-07-05T00:03:36.140478,0.0,0,False,0.0,inf,{}
4,2025-07-05T00:03:54.221793,0.0,0,False,0.0,inf,{}
5,2025-07-05T00:04:16.877078,0.0,0,False,0.0,inf,{}
6,2025-07-05T00:04:38.013578,0.0,0,False,0.0,inf,{}
7,2025-07-05T00:04:58.326198,0.0,0,False,0.0,inf,{}
8,2025-07-05T00:05:20.354900,0.0,0,False,0.0,inf,{}
9,2025-07-05T00:05:40.914042,0.0,0,False,0.0,inf,{}
10,2025-07-05T00:06:04.551217,0.0,0,False,0.0,inf,{}
