episode,timestamp,total_reward,steps,success,sar,splat,learning_info
1,2025-07-05T00:02:46.849695,177.31091262531237,4,True,1.0,44.86878534365311,{}
2,2025-07-05T00:03:05.960139,175.73739221417995,4,True,1.0,49.147164288505536,{}
3,2025-07-05T00:03:24.868849,182.21240467591838,5,True,1.0,61.90852351999073,{}
4,2025-07-05T00:03:42.874048,154.9959292355756,3,True,1.0,68.10254753045074,{}
5,2025-07-05T00:04:02.042459,169.05954747660238,4,True,1.0,52.45216687998583,{}
6,2025-07-05T00:04:24.696049,169.80485945545584,4,True,1.0,68.80492588431615,{}
7,2025-07-05T00:04:46.009654,168.9075234075452,4,True,1.0,60.41530302547316,{}
8,2025-07-05T00:05:08.102903,180.6434100354616,5,True,1.0,70.03436392089353,{}
9,2025-07-05T00:05:27.888136,157.23576738007955,3,True,1.0,56.95584290478909,{}
10,2025-07-05T00:05:49.744661,170.49670670912283,4,True,1.0,53.78278612232007,{}
