episode,timestamp,total_reward,steps,success,sar,splat,learning_info
1,2025-07-05T00:02:59.287174,0.0,0,False,0.0,inf,{}
2,2025-07-05T00:03:17.033565,0.0,0,False,0.0,inf,{}
3,2025-07-05T00:03:37.253253,0.0,0,False,0.0,inf,{}
4,2025-07-05T00:03:55.340432,0.0,0,False,0.0,inf,{}
5,2025-07-05T00:04:17.988361,0.0,0,False,0.0,inf,{}
6,2025-07-05T00:04:39.157269,0.0,0,False,0.0,inf,{}
7,2025-07-05T00:04:59.443142,0.0,0,False,0.0,inf,{}
8,2025-07-05T00:05:21.500678,0.0,0,False,0.0,inf,{}
9,2025-07-05T00:05:42.020664,0.0,0,False,0.0,inf,{}
10,2025-07-05T00:06:05.682207,0.0,0,False,0.0,inf,{}
