episode,timestamp,total_reward,steps,success,sar,splat,learning_info
1,2025-07-05T00:02:51.267868,158.94646278742198,3,True,1.0,51.65244205051246,{}
2,2025-07-05T00:03:10.386775,156.14601762567253,3,True,1.0,56.90216547250492,{}
3,2025-07-05T00:03:29.311271,157.07695690941276,3,True,1.0,77.2685004197949,{}
4,2025-07-05T00:03:47.324451,174.43764905262287,3,True,1.0,29.038375219925637,{}
5,2025-07-05T00:04:08.949901,179.77055926703505,5,True,1.0,71.57115335159456,{}
6,2025-07-05T00:04:31.363506,180.64402018841648,5,True,1.0,74.54709980085707,{}
7,2025-07-05T00:04:52.721637,181.31556358553536,5,True,1.0,57.29566541736393,{}
8,2025-07-05T00:05:13.654877,169.0684910977812,4,True,1.0,64.4463838810388,{}
9,2025-07-05T00:05:33.024432,157.35905208421002,3,True,1.0,68.86592896461508,{}
10,2025-07-05T00:05:57.694648,182.33740261272658,5,True,1.0,72.86746511689651,{}
