episode,timestamp,total_reward,steps,success,sar,splat,learning_info
1,2025-07-05T00:02:56.874226,170.27407991057308,4,True,1.0,67.40149260455807,{}
2,2025-07-05T00:03:14.818060,158.12426021439495,3,True,1.0,59.26212996216931,{}
3,2025-07-05T00:03:35.029524,176.64582497475334,4,True,1.0,49.55738645226711,{}
4,2025-07-05T00:03:52.962364,167.75048838671523,4,True,1.0,67.22204146804926,{}
5,2025-07-05T00:04:15.766615,181.33576948445625,5,True,1.0,60.27537788536663,{}
6,2025-07-05T00:04:36.905101,170.53282249374345,4,True,1.0,65.5823785675442,{}
7,2025-07-05T00:04:57.202704,158.18835022497,3,True,1.0,67.610433175495,{}
8,2025-07-05T00:05:19.232111,172.6136223794822,4,True,1.0,59.429118121859496,{}
9,2025-07-05T00:05:39.798332,180.54720229010985,5,True,1.0,58.809650142028474,{}
10,2025-07-05T00:06:03.412138,168.44717372387385,4,True,1.0,65.62623805526951,{}
